issuer_cik,ticker,accession,filing_date,trans_date,owner_cik,role,shares,price,value
1047862,ED,0001047862-21-000013,2021-01-07,2020-12-31,0001466373,officer,119.1,72.27,8607.36
1047862,ED,0001047862-21-000012,2021-01-07,2020-12-31,0001286156,officer,152.34,72.27,11009.61
1047862,ED,0001047862-21-000011,2021-01-07,2020-12-31,0001796197,officer,38.56,72.27,2786.73
1047862,ED,0001047862-21-000007,2021-01-07,2020-12-31,0001777893,officer,12.89,72.27,931.56
1585364,PRGO,0001585364-21-000002,2021-01-07,2021-01-06,0001424327,officer,7513.0,43.48,326665.24
23217,CAG,0001209191-21-002861,2021-01-11,2021-01-08,0001139497,director,10000.0,33.7,337000.0
1755672,CTVA,0001209191-21-004089,2021-01-19,2020-05-13,0001090724,director,928.0,23.16,21492.48
815556,FAST,0001179110-21-000817,2021-01-25,2021-01-21,0001454708,director,300.0,48.8,14640.0
815556,FAST,0001179110-21-000817,2021-01-25,2021-01-21,0001454708,director,300.0,48.03,14409.0
815556,FAST,0001179110-21-000870,2021-01-27,2021-01-25,0001454708,director,770.0,47.5,36575.0
50863,INTC,0001127602-21-002713,2021-01-27,2021-01-25,0001218363,officer,14544.0,55.12,801665.28
50863,INTC,0001127602-21-002713,2021-01-27,2021-01-25,0001218363,officer,12700.0,56.09,712343.0
50863,INTC,0001127602-21-002809,2021-01-28,2021-01-26,0001379532,officer,5600.0,55.36,310016.0
50863,INTC,0001127602-21-002809,2021-01-28,2021-01-26,0001379532,officer,3495.0,55.32,193343.4
815556,FAST,0001179110-21-000964,2021-01-29,2021-01-28,0001540958,director,998.0,48.29,48193.42
815556,FAST,0001179110-21-000964,2021-01-29,2021-01-28,0001540958,director,2.0,48.28,96.56
1094285,TDY,0001094285-21-000042,2021-01-29,2021-01-29,0001184647,officer,1000.0,367.84,367840.0
1094285,TDY,0001094285-21-000042,2021-01-29,2021-01-29,0001184647,officer,200.0,368.79,73758.0
1094285,TDY,0001094285-21-000042,2021-01-29,2021-01-29,0001184647,officer,8800.0,365.78,3218864.0
1051470,CCI,0001051470-21-000014,2021-02-01,2021-02-01,0001834017,director,2000.0,164.15,328300.0
97476,TXN,0001127602-21-003344,2021-02-01,2021-01-28,0001319699,director,5975.0,166.91,997287.25
815556,FAST,0001179110-21-001138,2021-02-03,2021-02-01,0001675882,director,1080.0,46.5,50220.0
731802,ATO,0001127602-21-003929,2021-02-04,2021-02-04,0001238195,director,500.0,87.8,43900.0
316709,SCHW,0001225208-21-001689,2021-02-04,2021-02-04,0001739929,director,3636.0,54.08,196634.88
1047862,ED,0001047862-21-000037,2021-02-05,2021-01-31,0001682978,officer,32.65,70.78,2310.97
1047862,ED,0001047862-21-000036,2021-02-05,2021-01-31,0001795103,officer,9.42,70.78,666.75
1047862,ED,0001047862-21-000035,2021-02-05,2021-01-31,0001423302,officer,29.37,70.78,2078.81
1047862,ED,0001047862-21-000034,2021-02-05,2021-01-31,0001837203,officer,3.14,70.78,222.25
1047862,ED,0001047862-21-000033,2021-02-05,2021-01-31,0001836542,officer,1.57,70.78,111.12
