cik,ticker,sic,sic_description
1063761,SPG,6798,Real Estate Investment Trusts
74208,UDR,6798,Real Estate Investment Trusts
1705696,VICI,6798,Real Estate Investment Trusts
899689,VNO,6798,Real Estate Investment Trusts
740260,VTR,6798,Real Estate Investment Trusts
766704,WELL,6798,Real Estate Investment Trusts
106535,WY,6798,Real Estate Investment Trusts
1590895,CZR,7011,Hotels & Motels
1585689,HLT,7011,Hotels & Motels
1300514,LVS,7011,Hotels & Motels
1048286,MAR,7011,Hotels & Motels
789570,MGM,7011,Hotels & Motels
921738,PENN,7011,Hotels & Motels
1174922,WYNN,7011,Hotels & Motels
12659,HRB,7200,Services-Personal Services
29989,OMC,7311,Services-Advertising Agencies
33185,EFX,7320,"Services-Consumer Credit Reporting, Collection Agencies"
1059556,MCO,7320,"Services-Consumer Credit Reporting, Collection Agencies"
64040,SPGI,7320,"Services-Consumer Credit Reporting, Collection Agencies"
1559720,ABNB,7340,Services-To Dwellings & Other Buildings
84839,ROL,7340,Services-To Dwellings & Other Buildings
1067701,URI,7359,"Services-Equipment Rental & Leasing, NEC"
315213,RHI,7363,Services-Help Supply Services
1751008,APP,7370,"Services-Computer Programming, Data Processing, Etc."
1819928,DV,7370,"Services-Computer Programming, Data Processing, Etc."
1013237,FDS,7370,"Services-Computer Programming, Data Processing, Etc."
1652044,GOOG,7370,"Services-Computer Programming, Data Processing, Etc."
1652044,GOOGL,7370,"Services-Computer Programming, Data Processing, Etc."
1326801,META,7370,"Services-Computer Programming, Data Processing, Etc."
891103,MTCH,7370,"Services-Computer Programming, Data Processing, Etc."
1526520,TRIP,7370,"Services-Computer Programming, Data Processing, Etc."
1671933,TTD,7370,"Services-Computer Programming, Data Processing, Etc."
1595761,WB,7370,"Services-Computer Programming, Data Processing, Etc."
1058290,CTSH,7371,Services-Computer Programming Services
1352010,EPAM,7371,Services-Computer Programming Services
1014473,VRSN,7371,Services-Computer Programming Services
796343,ADBE,7372,Services-Prepackaged Software
769397,ADSK,7372,Services-Prepackaged Software
813672,CDNS,7372,Services-Prepackaged Software
1108524,CRM,7372,Services-Prepackaged Software
1535527,CRWD,7372,Services-Prepackaged Software
1561550,DDOG,7372,Services-Prepackaged Software
712515,EA,7372,Services-Prepackaged Software
849399,GEN,7372,Services-Prepackaged Software
896878,INTU,7372,Services-Prepackaged Software
789019,MSFT,7372,Services-Prepackaged Software
1373715,NOW,7372,Services-Prepackaged Software
1341439,ORCL,7372,Services-Prepackaged Software
1590955,PAYC,7372,Services-Prepackaged Software
1321655,PLTR,7372,Services-Prepackaged Software
857005,PTC,7372,Services-Prepackaged Software
1583708,S,7372,Services-Prepackaged Software
883241,SNPS,7372,Services-Prepackaged Software
816761,TDC,7372,Services-Prepackaged Software
946581,TTWO,7372,Services-Prepackaged Software
860731,TYL,7372,Services-Prepackaged Software
1393052,VEEV,7372,Services-Prepackaged Software
1512673,XYZ,7372,Services-Prepackaged Software
1609711,GDDY,7373,Services-Computer Integrated Systems Design
779152,JKHY,7373,Services-Computer Integrated Systems Design
1336920,LDOS,7373,Services-Computer Integrated Systems Design
1621672,SLE,7373,Services-Computer Integrated Systems Design
8670,ADP,7374,Services-Computer Processing & Data Preparation
1688568,DXC,7374,Services-Computer Processing & Data Preparation
1442145,VRSK,7374,Services-Computer Processing & Data Preparation
1327811,WDAY,7374,Services-Computer Processing & Data Preparation
1703399,SE,7380,Services-Miscellaneous Business Services
1703056,ADT,7381,"Services-Detective, Guard & Armored Car Services"
1579241,ALLE,7381,"Services-Detective, Guard & Armored Car Services"
1467373,ACN,7389,"Services-Business Services, NEC"
1086222,AKAM,7389,"Services-Business Services, NEC"
2011286,AMTM,7389,"Services-Business Services, NEC"
1383312,BR,7389,"Services-Business Services, NEC"
1175454,CPAY,7389,"Services-Business Services, NEC"
1057352,CSGP,7389,"Services-Business Services, NEC"
1792789,DASH,7389,"Services-Business Services, NEC"
1065088,EBAY,7389,"Services-Business Services, NEC"
1370637,ETSY,7389,"Services-Business Services, NEC"
814547,FICO,7389,"Services-Business Services, NEC"
1136893,FIS,7389,"Services-Business Services, NEC"
798354,FISV,7389,"Services-Business Services, NEC"
1123360,GPN,7389,"Services-Business Services, NEC"
1141391,MA,7389,"Services-Business Services, NEC"
1408198,MSCI,7389,"Services-Business Services, NEC"
1633917,PYPL,7389,"Services-Business Services, NEC"
1543151,UBER,7389,"Services-Business Services, NEC"
1403161,V,7389,"Services-Business Services, NEC"
1365135,WU,7389,"Services-Business Services, NEC"
85961,R,7510,Services-Auto Rental & Leasing (No Drivers)
1065280,NFLX,7841,Services-Video Tape Rental
1335258,LYV,7900,Services-Amusement & Recreation Services
1973266,TKO,7900,Services-Amusement & Recreation Services
1744489,DIS,7990,Services-Miscellaneous Amusement & Recreation
860730,HCA,8062,"Services-General Medical & Surgical Hospitals, NEC"
70318,THC,8062,"Services-General Medical & Surgical Hospitals, NEC"
352915,UHS,8062,"Services-General Medical & Surgical Hospitals, NEC"
1022079,DGX,8071,Services-Medical Laboratories
920148,LH,8071,Services-Medical Laboratories
927066,DVA,8090,"Services-Misc Health & Allied Services, NEC"
104889,GHC,8200,Services-Educational Services
723531,PAYX,8700,"Services-Engineering, Accounting, Research, Management"
1100682,CRL,8731,Services-Commercial Physical & Biological Research
879169,INCY,8731,Services-Commercial Physical & Biological Research
1478242,IQV,8731,Services-Commercial Physical & Biological Research
749251,IT,8741,Services-Management Services
