cik,ticker,sic,sic_description
874716,IDXX,2835,In Vitro & In Vivo Diagnostic Substances
318154,AMGN,2836,"Biological Products, (No Diagnostic Substances)"
1745999,BEAM,2836,"Biological Products, (No Diagnostic Substances)"
875045,BIIB,2836,"Biological Products, (No Diagnostic Substances)"
882095,GILD,2836,"Biological Products, (No Diagnostic Substances)"
1682852,MRNA,2836,"Biological Products, (No Diagnostic Substances)"
842023,TECH,2836,"Biological Products, (No Diagnostic Substances)"
313927,CHD,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics"
31462,ECL,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics"
80424,PG,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics"
21076,CLX,2842,"Specialty Cleaning, Polishing and Sanitation Preparations"
21665,CL,2844,"Perfumes, Cosmetics & Other Toilet Preparations"
1024305,COTY,2844,"Perfumes, Cosmetics & Other Toilet Preparations"
1001250,EL,2844,"Perfumes, Cosmetics & Other Toilet Preparations"
1944048,KVUE,2844,"Perfumes, Cosmetics & Other Toilet Preparations"
79879,PPG,2851,"Paints, Varnishes, Lacquers, Enamels & Allied Prods"
51253,IFF,2860,Industrial Organic Chemicals
1489393,LYB,2860,Industrial Organic Chemicals
1324404,CF,2870,Agricultural Chemicals
1285785,MOS,2870,Agricultural Chemicals
1163165,COP,2911,Petroleum Refining
93410,CVX,2911,Petroleum Refining
1510295,MPC,2911,Petroleum Refining
1534701,PSX,2911,Petroleum Refining
1552275,SUN,2911,Petroleum Refining
1035002,VLO,2911,Petroleum Refining
34088,XOM,2911,Petroleum Refining
42582,GT,3011,Tires & Inner Tubes
910521,DECK,3021,Rubber & Plastics Footwear
320187,NKE,3021,Rubber & Plastics Footwear
814453,NWL,3089,"Plastics Products, NEC"
1530721,CPRI,3100,Leather & Leather Products
1116132,TPR,3100,Leather & Leather Products
812074,OI,3221,Glass Containers
849395,CRH,3241,"Cement, Hydraulic"
73309,NUE,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)"
1022671,STLD,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)"
1018963,ATI,3317,Steel Pipe & Tubes
1675149,AA,3334,Primary Production of  Aluminum
4281,HWM,3350,Rolling Drawing & Extruding of  Nonferrous Metals
24741,GLW,3357,Drawing & Insulating of  Nonferrous Wire
9389,BALL,3411,Metal Cans
1219601,CCK,3411,Metal Cans
91440,SNA,3420,"Cutlery, Handtools & General Hardware"
93556,SWK,3420,"Cutlery, Handtools & General Hardware"
62996,MAS,3430,"Heating Equip, Except Elec & Warm Air; & Plumbing Fixtures"
1069183,AXON,3480,"Ordnance & Accessories, (No Vehicles/Guided Missiles)"
76334,PH,3490,Miscellaneous Fabricated Metal Products
14930,BC,3510,Engines & Turbines
26172,CMI,3510,Engines & Turbines
315189,DE,3523,Farm Machinery & Equipment
29905,DOV,3530,"Construction, Mining & Materials Handling Machinery & Equip"
18230,CAT,3531,Construction Machinery & Equip
1701605,BKR,3533,Oil & Gas Field Machinery & Equipment
1681459,FTI,3533,Oil & Gas Field Machinery & Equipment
1021860,NOV,3533,Oil & Gas Field Machinery & Equipment
77360,PNR,3550,Special Industry Machinery (No Metalworking Machinery)
707549,LRCX,3559,"Special Industry Machinery, NEC"
1699150,IR,3560,General Industrial Machinery & Equipment
49826,ITW,3560,General Industrial Machinery & Equipment
877212,ZBRA,3560,General Industrial Machinery & Equipment
30625,FLS,3561,Pumps & Pumping Equipment
832101,IEX,3561,Pumps & Pumping Equipment
216228,ITT,3561,Pumps & Pumping Equipment
1524472,XYL,3561,Pumps & Pumping Equipment
72331,NDSN,3569,"General Industrial Machinery & Equipment, NEC"
1645590,HPE,3570,Computer & office Equipment
47217,HPQ,3570,Computer & office Equipment
51143,IBM,3570,Computer & office Equipment
320193,AAPL,3571,Electronic Computers
1571996,DELL,3571,Electronic Computers
1375365,SMCI,3571,Electronic Computers
1002047,NTAP,3572,Computer Storage Devices
2023554,SNDK,3572,Computer Storage Devices
1137789,STX,3572,Computer Storage Devices
106040,WDC,3572,Computer Storage Devices
1596532,ANET,3576,Computer Communications Equipment
858877,CSCO,3576,Computer Communications Equipment
1048695,FFIV,3576,Computer Communications Equipment
1262039,FTNT,3577,"Computer Peripheral Equipment, NEC"
1327567,PANW,3577,"Computer Peripheral Equipment, NEC"
1770450,XRX,3577,"Computer Peripheral Equipment, NEC"
78814,PBI,3579,"Office Machines, NEC"
1783180,CARR,3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip
833444,JCI,3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip
1069202,LII,3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip
1551182,ETN,3590,Misc Industrial & Commercial Machinery & Equipment
32604,EMR,3600,Electronic & Other Electrical Equipment (No Computer Equip)
40545,GE,3600,Electronic & Other Electrical Equipment (No Computer Equip)
1996810,GEV,3600,Electronic & Other Electrical Equipment (No Computer Equip)
1781335,OTIS,3600,Electronic & Other Electrical Equipment (No Computer Equip)
1474735,GNRC,3621,Motors & Generators
91142,AOS,3630,Household Appliances
106640,WHR,3630,Household Appliances
1144215,AYI,3640,Electric Lighting & Wiring Equipment
936395,CIEN,3661,Telephone & Telegraph Apparatus
68505,MSI,3663,Radio & Tv Broadcasting & Communications Equipment
804328,QCOM,3663,Radio & Tv Broadcasting & Communications Equipment
1633978,LITE,3669,"Communications Equipment, NEC"
48898,HUBB,3670,Electronic Components & Accessories
866374,FLEX,3672,Printed Circuit Boards
898293,JBL,3672,Printed Circuit Boards
6281,ADI,3674,Semiconductors & Related Devices
6951,AMAT,3674,Semiconductors & Related Devices
2488,AMD,3674,Semiconductors & Related Devices
1730168,AVGO,3674,Semiconductors & Related Devices
1463101,ENPH,3674,Semiconductors & Related Devices
1274494,FSLR,3674,Semiconductors & Related Devices
50863,INTC,3674,Semiconductors & Related Devices
1111928,IPGP,3674,Semiconductors & Related Devices
827054,MCHP,3674,Semiconductors & Related Devices
1280452,MPWR,3674,Semiconductors & Related Devices
1835632,MRVL,3674,Semiconductors & Related Devices
723125,MU,3674,Semiconductors & Related Devices
1045810,NVDA,3674,Semiconductors & Related Devices
1413447,NXPI,3674,Semiconductors & Related Devices
1097864,ON,3674,Semiconductors & Related Devices
2058873,Q,3674,Semiconductors & Related Devices
1604778,QRVO,3674,Semiconductors & Related Devices
1419612,SEDG,3674,Semiconductors & Related Devices
4127,SWKS,3674,Semiconductors & Related Devices
